question,answer
"What are dictionaries","Cairo provides in its core library a dictionary-like type. The Felt252Dict<T> data type represents a collection of key-value pairs where each key is unique and associated with a corresponding value. This type of data structure is known differently across different programming languages such as maps, hash tables, associative arrays and many others."
"what are dictionaries used for ?","The Felt252Dict<T> type is useful when you want to organize your data in a certain way for which using an Array<T> and indexing doesn't suffice. Cairo dictionaries also allow the programmer to easily simulate the existence of mutable memory when there is none."
"Can I use any type for keys of a dictionary ?","It is normal in other languages when creating a new dictionary to define the data types of both key and value. In Cairo, the key type is restricted to felt252 leaving only the possibility to specify the value data type, represented by T in Felt252Dict<T>."
"define a dictionary called messages","
```
    let mut balances: Felt252Dict<u64> = Default::default();
```
"
"create a dictionary and insert value 100 associated to key 'Alex' and 200 to key 'maria'","
 ```
    let mut dict: Felt252Dict<u64> = Default::default();

    dict.insert('Alex', 100);
    dict.insert('Maria', 200);
```
"
"create a dictionary, add a value associated to key 200, and read the value associated to key 200","
```
     let mut dict: Felt252Dict<u64> = Default::default();

    dict.insert(200, 100);
    let value_read = dict.get(200);
```
"
"what value will I get in x:
    let mut dict: Felt252Dict<u64> = Default::default();

    dict.insert('Alex', 100);
    dict.insert('Maria', 200);

x= let value_read = dict.get('Bob');
"," 'Bob' is not a valid key,if you try to get the value of an inexistent key, from a dictionary you will get 0"
"Can I delete an element from a dictionary","No. There is no way to delete data from a dictionary."
 "what is ownership in Cairo ?","Cairo implements an ownership system to ensure the safety and correctness of its compiled code. The ownership mechanism complements the linear type system, which enforces that objects are used exactly once. This helps prevent common operations that can produce runtime errors, such as illegal memory address references or multiple writes to the same memory address, and ensures the soundness of Cairo programs by checking at compile time that all the dictionaries are squashed."
"initialize a dictionary to store user ages and add an entry for 'Bob' being 30 years old","
    let mut user_ages: Felt252Dict<u64> = Default::default();
    user_ages.insert('Bob', 30);
"
"define a dictionary to keep track of stock quantities and set the count of 'apples' to 50","
    let mut stock_quantities: Felt252Dict<u64> = Default::default();
    stock_quantities.insert('apples', 50);
"
"create a new dictionary to hold game scores, and add two scores: 'player1' with 1500 and 'player2' with 3500","
    let mut game_scores: Felt252Dict<u64> = Default::default();
    game_scores.insert('player1', 1500);
    game_scores.insert('player2', 3500);
"
"define a dictionary for product prices, add price for 'milk' at 3 dollars, and check the price of 'milk'","
    let mut product_prices: Felt252Dict<u64> = Default::default();
    product_prices.insert('milk', 3);
    let milk_price = product_prices.get('milk');
"
"create a dictionary for employee IDs and salaries, include an entry for employee ID 102 with a salary of 60000","
    let mut employee_salaries: Felt252Dict<u64> = Default::default();
    employee_salaries.insert(102, 60000);
"
"create a dictionary called 'language_codes', put an entry mapping 'EN' to 'English' and 'FR' to 'French'","
    let mut language_codes: Felt252Dict<String> = Default::default();
    language_codes.insert('EN', 'English');
    language_codes.insert('FR', 'French');
"
"Which data structure is the Felt252Dict<T> most comparable to?","map"
"When is the Felt252Dict<T> type useful?","To organize data in a certain way that using an Array<T> and indexing doesn't suffice."
"What does the Felt252Dict<T> type allow the programmer to simulate?","Mutable memory"
"What is restricted to felt252 in a Felt252Dict<T>?","The key type"
"What does get(felt252) -> T do?","Allows reading values from a dictionary"
"What does insert(felt252, T) -> () do?","Allows writing values to a dictionary"
"Give an example of how to create a dictionary to represent a mapping between individuals and their balance.","fn main() { let mut balances: Felt252Dict<u64> = Default::default(); balances.insert('Alex', 100); balances.insert('Maria', 200); }"
